# Wall heat-flux
# Time        	patch         	min           	max           	integral      
193           	walls	1.000000e+02	1.000000e+02	7.536378e+00
194           	walls	1.000000e+02	1.000000e+02	7.536378e+00
195           	walls	1.000000e+02	1.000000e+02	7.536378e+00
196           	walls	1.000000e+02	1.000000e+02	7.536378e+00
197           	walls	1.000000e+02	1.000000e+02	7.536378e+00
198           	walls	1.000000e+02	1.000000e+02	7.536378e+00
199           	walls	1.000000e+02	1.000000e+02	7.536378e+00
200           	walls	1.000000e+02	1.000000e+02	7.536378e+00
201           	walls	1.000000e+02	1.000000e+02	7.536378e+00
202           	walls	1.000000e+02	1.000000e+02	7.536378e+00
203           	walls	1.000000e+02	1.000000e+02	7.536378e+00
204           	walls	1.000000e+02	1.000000e+02	7.536378e+00
205           	walls	1.000000e+02	1.000000e+02	7.536378e+00
206           	walls	1.000000e+02	1.000000e+02	7.536378e+00
207           	walls	1.000000e+02	1.000000e+02	7.536378e+00
208           	walls	1.000000e+02	1.000000e+02	7.536378e+00
209           	walls	1.000000e+02	1.000000e+02	7.536378e+00
210           	walls	1.000000e+02	1.000000e+02	7.536378e+00
211           	walls	1.000000e+02	1.000000e+02	7.536378e+00
212           	walls	1.000000e+02	1.000000e+02	7.536378e+00
213           	walls	1.000000e+02	1.000000e+02	7.536378e+00
214           	walls	1.000000e+02	1.000000e+02	7.536378e+00
215           	walls	1.000000e+02	1.000000e+02	7.536378e+00
216           	walls	1.000000e+02	1.000000e+02	7.536378e+00
217           	walls	1.000000e+02	1.000000e+02	7.536378e+00
218           	walls	1.000000e+02	1.000000e+02	7.536378e+00
219           	walls	1.000000e+02	1.000000e+02	7.536378e+00
220           	walls	1.000000e+02	1.000000e+02	7.536378e+00
221           	walls	1.000000e+02	1.000000e+02	7.536378e+00
222           	walls	1.000000e+02	1.000000e+02	7.536378e+00
223           	walls	1.000000e+02	1.000000e+02	7.536378e+00
224           	walls	1.000000e+02	1.000000e+02	7.536378e+00
225           	walls	1.000000e+02	1.000000e+02	7.536378e+00
226           	walls	1.000000e+02	1.000000e+02	7.536378e+00
227           	walls	1.000000e+02	1.000000e+02	7.536378e+00
228           	walls	1.000000e+02	1.000000e+02	7.536378e+00
229           	walls	1.000000e+02	1.000000e+02	7.536378e+00
230           	walls	1.000000e+02	1.000000e+02	7.536378e+00
231           	walls	1.000000e+02	1.000000e+02	7.536378e+00
232           	walls	1.000000e+02	1.000000e+02	7.536378e+00
233           	walls	1.000000e+02	1.000000e+02	7.536378e+00
234           	walls	1.000000e+02	1.000000e+02	7.536378e+00
235           	walls	1.000000e+02	1.000000e+02	7.536378e+00
236           	walls	1.000000e+02	1.000000e+02	7.536378e+00
237           	walls	1.000000e+02	1.000000e+02	7.536378e+00
238           	walls	1.000000e+02	1.000000e+02	7.536378e+00
239           	walls	1.000000e+02	1.000000e+02	7.536378e+00
240           	walls	1.000000e+02	1.000000e+02	7.536378e+00
241           	walls	1.000000e+02	1.000000e+02	7.536378e+00
242           	walls	1.000000e+02	1.000000e+02	7.536378e+00
243           	walls	1.000000e+02	1.000000e+02	7.536378e+00
244           	walls	1.000000e+02	1.000000e+02	7.536378e+00
245           	walls	1.000000e+02	1.000000e+02	7.536378e+00
246           	walls	1.000000e+02	1.000000e+02	7.536378e+00
247           	walls	1.000000e+02	1.000000e+02	7.536378e+00
248           	walls	1.000000e+02	1.000000e+02	7.536378e+00
249           	walls	1.000000e+02	1.000000e+02	7.536378e+00
250           	walls	1.000000e+02	1.000000e+02	7.536378e+00
251           	walls	1.000000e+02	1.000000e+02	7.536378e+00
252           	walls	1.000000e+02	1.000000e+02	7.536378e+00
253           	walls	1.000000e+02	1.000000e+02	7.536378e+00
254           	walls	1.000000e+02	1.000000e+02	7.536378e+00
255           	walls	1.000000e+02	1.000000e+02	7.536378e+00
256           	walls	1.000000e+02	1.000000e+02	7.536378e+00
257           	walls	1.000000e+02	1.000000e+02	7.536378e+00
258           	walls	1.000000e+02	1.000000e+02	7.536378e+00
259           	walls	1.000000e+02	1.000000e+02	7.536378e+00
260           	walls	1.000000e+02	1.000000e+02	7.536378e+00
261           	walls	1.000000e+02	1.000000e+02	7.536378e+00
262           	walls	1.000000e+02	1.000000e+02	7.536378e+00
263           	walls	1.000000e+02	1.000000e+02	7.536378e+00
264           	walls	1.000000e+02	1.000000e+02	7.536378e+00
265           	walls	1.000000e+02	1.000000e+02	7.536378e+00
266           	walls	1.000000e+02	1.000000e+02	7.536378e+00
267           	walls	1.000000e+02	1.000000e+02	7.536378e+00
268           	walls	1.000000e+02	1.000000e+02	7.536378e+00
269           	walls	1.000000e+02	1.000000e+02	7.536378e+00
270           	walls	1.000000e+02	1.000000e+02	7.536378e+00
271           	walls	1.000000e+02	1.000000e+02	7.536378e+00
272           	walls	1.000000e+02	1.000000e+02	7.536378e+00
273           	walls	1.000000e+02	1.000000e+02	7.536378e+00
274           	walls	1.000000e+02	1.000000e+02	7.536378e+00
275           	walls	1.000000e+02	1.000000e+02	7.536378e+00
276           	walls	1.000000e+02	1.000000e+02	7.536378e+00
277           	walls	1.000000e+02	1.000000e+02	7.536378e+00
278           	walls	1.000000e+02	1.000000e+02	7.536378e+00
279           	walls	1.000000e+02	1.000000e+02	7.536378e+00
280           	walls	1.000000e+02	1.000000e+02	7.536378e+00
281           	walls	1.000000e+02	1.000000e+02	7.536378e+00
282           	walls	1.000000e+02	1.000000e+02	7.536378e+00
283           	walls	1.000000e+02	1.000000e+02	7.536378e+00
284           	walls	1.000000e+02	1.000000e+02	7.536378e+00
285           	walls	1.000000e+02	1.000000e+02	7.536378e+00
286           	walls	1.000000e+02	1.000000e+02	7.536378e+00
287           	walls	1.000000e+02	1.000000e+02	7.536378e+00
288           	walls	1.000000e+02	1.000000e+02	7.536378e+00
289           	walls	1.000000e+02	1.000000e+02	7.536378e+00
290           	walls	1.000000e+02	1.000000e+02	7.536378e+00
291           	walls	1.000000e+02	1.000000e+02	7.536378e+00
292           	walls	1.000000e+02	1.000000e+02	7.536378e+00
293           	walls	1.000000e+02	1.000000e+02	7.536378e+00
294           	walls	1.000000e+02	1.000000e+02	7.536378e+00
295           	walls	1.000000e+02	1.000000e+02	7.536378e+00
296           	walls	1.000000e+02	1.000000e+02	7.536378e+00
297           	walls	1.000000e+02	1.000000e+02	7.536378e+00
298           	walls	1.000000e+02	1.000000e+02	7.536378e+00
299           	walls	1.000000e+02	1.000000e+02	7.536378e+00
300           	walls	1.000000e+02	1.000000e+02	7.536378e+00
301           	walls	1.000000e+02	1.000000e+02	7.536378e+00
302           	walls	1.000000e+02	1.000000e+02	7.536378e+00
303           	walls	1.000000e+02	1.000000e+02	7.536378e+00
304           	walls	1.000000e+02	1.000000e+02	7.536378e+00
305           	walls	1.000000e+02	1.000000e+02	7.536378e+00
306           	walls	1.000000e+02	1.000000e+02	7.536378e+00
307           	walls	1.000000e+02	1.000000e+02	7.536378e+00
308           	walls	1.000000e+02	1.000000e+02	7.536378e+00
309           	walls	1.000000e+02	1.000000e+02	7.536378e+00
310           	walls	1.000000e+02	1.000000e+02	7.536378e+00
311           	walls	1.000000e+02	1.000000e+02	7.536378e+00
312           	walls	1.000000e+02	1.000000e+02	7.536378e+00
313           	walls	1.000000e+02	1.000000e+02	7.536378e+00
314           	walls	1.000000e+02	1.000000e+02	7.536378e+00
315           	walls	1.000000e+02	1.000000e+02	7.536378e+00
316           	walls	1.000000e+02	1.000000e+02	7.536378e+00
317           	walls	1.000000e+02	1.000000e+02	7.536378e+00
318           	walls	1.000000e+02	1.000000e+02	7.536378e+00
319           	walls	1.000000e+02	1.000000e+02	7.536378e+00
320           	walls	1.000000e+02	1.000000e+02	7.536378e+00
321           	walls	1.000000e+02	1.000000e+02	7.536378e+00
322           	walls	1.000000e+02	1.000000e+02	7.536378e+00
323           	walls	1.000000e+02	1.000000e+02	7.536378e+00
324           	walls	1.000000e+02	1.000000e+02	7.536378e+00
325           	walls	1.000000e+02	1.000000e+02	7.536378e+00
326           	walls	1.000000e+02	1.000000e+02	7.536378e+00
327           	walls	1.000000e+02	1.000000e+02	7.536378e+00
328           	walls	1.000000e+02	1.000000e+02	7.536378e+00
329           	walls	1.000000e+02	1.000000e+02	7.536378e+00
330           	walls	1.000000e+02	1.000000e+02	7.536378e+00
331           	walls	1.000000e+02	1.000000e+02	7.536378e+00
332           	walls	1.000000e+02	1.000000e+02	7.536378e+00
333           	walls	1.000000e+02	1.000000e+02	7.536378e+00
334           	walls	1.000000e+02	1.000000e+02	7.536378e+00
335           	walls	1.000000e+02	1.000000e+02	7.536378e+00
336           	walls	1.000000e+02	1.000000e+02	7.536378e+00
337           	walls	1.000000e+02	1.000000e+02	7.536378e+00
338           	walls	1.000000e+02	1.000000e+02	7.536378e+00
339           	walls	1.000000e+02	1.000000e+02	7.536378e+00
340           	walls	1.000000e+02	1.000000e+02	7.536378e+00
341           	walls	1.000000e+02	1.000000e+02	7.536378e+00
342           	walls	1.000000e+02	1.000000e+02	7.536378e+00
343           	walls	1.000000e+02	1.000000e+02	7.536378e+00
344           	walls	1.000000e+02	1.000000e+02	7.536378e+00
345           	walls	1.000000e+02	1.000000e+02	7.536378e+00
346           	walls	1.000000e+02	1.000000e+02	7.536378e+00
347           	walls	1.000000e+02	1.000000e+02	7.536378e+00
348           	walls	1.000000e+02	1.000000e+02	7.536378e+00
349           	walls	1.000000e+02	1.000000e+02	7.536378e+00
350           	walls	1.000000e+02	1.000000e+02	7.536378e+00
351           	walls	1.000000e+02	1.000000e+02	7.536378e+00
352           	walls	1.000000e+02	1.000000e+02	7.536378e+00
353           	walls	1.000000e+02	1.000000e+02	7.536378e+00
354           	walls	1.000000e+02	1.000000e+02	7.536378e+00
355           	walls	1.000000e+02	1.000000e+02	7.536378e+00
356           	walls	1.000000e+02	1.000000e+02	7.536378e+00
357           	walls	1.000000e+02	1.000000e+02	7.536378e+00
358           	walls	1.000000e+02	1.000000e+02	7.536378e+00
359           	walls	1.000000e+02	1.000000e+02	7.536378e+00
360           	walls	1.000000e+02	1.000000e+02	7.536378e+00
361           	walls	1.000000e+02	1.000000e+02	7.536378e+00
362           	walls	1.000000e+02	1.000000e+02	7.536378e+00
363           	walls	1.000000e+02	1.000000e+02	7.536378e+00
364           	walls	1.000000e+02	1.000000e+02	7.536378e+00
365           	walls	1.000000e+02	1.000000e+02	7.536378e+00
366           	walls	1.000000e+02	1.000000e+02	7.536378e+00
367           	walls	1.000000e+02	1.000000e+02	7.536378e+00
368           	walls	1.000000e+02	1.000000e+02	7.536378e+00
369           	walls	1.000000e+02	1.000000e+02	7.536378e+00
370           	walls	1.000000e+02	1.000000e+02	7.536378e+00
371           	walls	1.000000e+02	1.000000e+02	7.536378e+00
372           	walls	1.000000e+02	1.000000e+02	7.536378e+00
373           	walls	1.000000e+02	1.000000e+02	7.536378e+00
374           	walls	1.000000e+02	1.000000e+02	7.536378e+00
375           	walls	1.000000e+02	1.000000e+02	7.536378e+00
376           	walls	1.000000e+02	1.000000e+02	7.536378e+00
377           	walls	1.000000e+02	1.000000e+02	7.536378e+00
378           	walls	1.000000e+02	1.000000e+02	7.536378e+00
379           	walls	1.000000e+02	1.000000e+02	7.536378e+00
380           	walls	1.000000e+02	1.000000e+02	7.536378e+00
381           	walls	1.000000e+02	1.000000e+02	7.536378e+00
382           	walls	1.000000e+02	1.000000e+02	7.536378e+00
383           	walls	1.000000e+02	1.000000e+02	7.536378e+00
384           	walls	1.000000e+02	1.000000e+02	7.536378e+00
385           	walls	1.000000e+02	1.000000e+02	7.536378e+00
386           	walls	1.000000e+02	1.000000e+02	7.536378e+00
387           	walls	1.000000e+02	1.000000e+02	7.536378e+00
388           	walls	1.000000e+02	1.000000e+02	7.536378e+00
389           	walls	1.000000e+02	1.000000e+02	7.536378e+00
390           	walls	1.000000e+02	1.000000e+02	7.536378e+00
391           	walls	1.000000e+02	1.000000e+02	7.536378e+00
392           	walls	1.000000e+02	1.000000e+02	7.536378e+00
393           	walls	1.000000e+02	1.000000e+02	7.536378e+00
394           	walls	1.000000e+02	1.000000e+02	7.536378e+00
395           	walls	1.000000e+02	1.000000e+02	7.536378e+00
396           	walls	1.000000e+02	1.000000e+02	7.536378e+00
397           	walls	1.000000e+02	1.000000e+02	7.536378e+00
398           	walls	1.000000e+02	1.000000e+02	7.536378e+00
399           	walls	1.000000e+02	1.000000e+02	7.536378e+00
400           	walls	1.000000e+02	1.000000e+02	7.536378e+00
401           	walls	1.000000e+02	1.000000e+02	7.536378e+00
402           	walls	1.000000e+02	1.000000e+02	7.536378e+00
403           	walls	1.000000e+02	1.000000e+02	7.536378e+00
404           	walls	1.000000e+02	1.000000e+02	7.536378e+00
405           	walls	1.000000e+02	1.000000e+02	7.536378e+00
406           	walls	1.000000e+02	1.000000e+02	7.536378e+00
407           	walls	1.000000e+02	1.000000e+02	7.536378e+00
408           	walls	1.000000e+02	1.000000e+02	7.536378e+00
409           	walls	1.000000e+02	1.000000e+02	7.536378e+00
410           	walls	1.000000e+02	1.000000e+02	7.536378e+00
411           	walls	1.000000e+02	1.000000e+02	7.536378e+00
412           	walls	1.000000e+02	1.000000e+02	7.536378e+00
413           	walls	1.000000e+02	1.000000e+02	7.536378e+00
414           	walls	1.000000e+02	1.000000e+02	7.536378e+00
415           	walls	1.000000e+02	1.000000e+02	7.536378e+00
416           	walls	1.000000e+02	1.000000e+02	7.536378e+00
417           	walls	1.000000e+02	1.000000e+02	7.536378e+00
418           	walls	1.000000e+02	1.000000e+02	7.536378e+00
419           	walls	1.000000e+02	1.000000e+02	7.536378e+00
420           	walls	1.000000e+02	1.000000e+02	7.536378e+00
421           	walls	1.000000e+02	1.000000e+02	7.536378e+00
422           	walls	1.000000e+02	1.000000e+02	7.536378e+00
423           	walls	1.000000e+02	1.000000e+02	7.536378e+00
424           	walls	1.000000e+02	1.000000e+02	7.536378e+00
425           	walls	1.000000e+02	1.000000e+02	7.536378e+00
426           	walls	1.000000e+02	1.000000e+02	7.536378e+00
427           	walls	1.000000e+02	1.000000e+02	7.536378e+00
428           	walls	1.000000e+02	1.000000e+02	7.536378e+00
429           	walls	1.000000e+02	1.000000e+02	7.536378e+00
430           	walls	1.000000e+02	1.000000e+02	7.536378e+00
431           	walls	1.000000e+02	1.000000e+02	7.536378e+00
432           	walls	1.000000e+02	1.000000e+02	7.536378e+00
433           	walls	1.000000e+02	1.000000e+02	7.536378e+00
434           	walls	1.000000e+02	1.000000e+02	7.536378e+00
435           	walls	1.000000e+02	1.000000e+02	7.536378e+00
436           	walls	1.000000e+02	1.000000e+02	7.536378e+00
437           	walls	1.000000e+02	1.000000e+02	7.536378e+00
438           	walls	1.000000e+02	1.000000e+02	7.536378e+00
439           	walls	1.000000e+02	1.000000e+02	7.536378e+00
440           	walls	1.000000e+02	1.000000e+02	7.536378e+00
441           	walls	1.000000e+02	1.000000e+02	7.536378e+00
442           	walls	1.000000e+02	1.000000e+02	7.536378e+00
443           	walls	1.000000e+02	1.000000e+02	7.536378e+00
444           	walls	1.000000e+02	1.000000e+02	7.536378e+00
445           	walls	1.000000e+02	1.000000e+02	7.536378e+00
446           	walls	1.000000e+02	1.000000e+02	7.536378e+00
447           	walls	1.000000e+02	1.000000e+02	7.536378e+00
448           	walls	1.000000e+02	1.000000e+02	7.536378e+00
449           	walls	1.000000e+02	1.000000e+02	7.536378e+00
450           	walls	1.000000e+02	1.000000e+02	7.536378e+00
451           	walls	1.000000e+02	1.000000e+02	7.536378e+00
452           	walls	1.000000e+02	1.000000e+02	7.536378e+00
453           	walls	1.000000e+02	1.000000e+02	7.536378e+00
454           	walls	1.000000e+02	1.000000e+02	7.536378e+00
455           	walls	1.000000e+02	1.000000e+02	7.536378e+00
456           	walls	1.000000e+02	1.000000e+02	7.536378e+00
457           	walls	1.000000e+02	1.000000e+02	7.536378e+00
458           	walls	1.000000e+02	1.000000e+02	7.536378e+00
459           	walls	1.000000e+02	1.000000e+02	7.536378e+00
460           	walls	1.000000e+02	1.000000e+02	7.536378e+00
461           	walls	1.000000e+02	1.000000e+02	7.536378e+00
462           	walls	1.000000e+02	1.000000e+02	7.536378e+00
