# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   
129           	smoothSolver	4.028800e-04	3.339890e-05	2	4.028110e-04	3.338600e-05	2	3.598510e-04	3.065090e-05	2	false
130           	smoothSolver	3.930510e-04	3.257530e-05	2	3.930230e-04	3.256690e-05	2	3.560530e-04	3.034940e-05	2	false
131           	smoothSolver	3.834170e-04	3.178640e-05	2	3.833690e-04	3.177690e-05	2	3.524040e-04	3.007280e-05	2	false
132           	smoothSolver	3.742100e-04	3.103900e-05	2	3.740980e-04	3.102270e-05	2	3.489270e-04	2.981790e-05	2	false
133           	smoothSolver	3.655640e-04	3.032940e-05	2	3.655440e-04	3.032150e-05	2	3.456300e-04	2.957580e-05	2	false
134           	smoothSolver	3.569760e-04	2.963360e-05	2	3.569420e-04	2.962490e-05	2	3.426650e-04	2.935310e-05	2	false
135           	smoothSolver	3.480500e-04	2.892670e-05	2	3.480270e-04	2.891820e-05	2	3.399080e-04	2.915160e-05	2	false
136           	smoothSolver	3.394960e-04	2.820520e-05	2	3.394670e-04	2.819650e-05	2	3.372960e-04	2.896280e-05	2	false
137           	smoothSolver	3.312700e-04	2.749050e-05	2	3.312690e-04	2.748380e-05	2	3.349080e-04	2.879320e-05	2	false
138           	smoothSolver	3.233330e-04	2.680770e-05	2	3.232900e-04	2.679810e-05	2	3.327690e-04	2.863770e-05	2	false
139           	smoothSolver	3.156360e-04	2.615070e-05	2	3.155870e-04	2.614130e-05	2	3.307740e-04	2.849410e-05	2	false
140           	smoothSolver	3.080440e-04	2.550980e-05	2	3.080290e-04	2.550320e-05	2	3.290030e-04	2.835490e-05	2	false
141           	smoothSolver	3.005800e-04	2.488860e-05	2	3.005470e-04	2.488050e-05	2	3.273580e-04	2.821930e-05	2	false
142           	smoothSolver	2.932640e-04	2.428970e-05	2	2.932540e-04	2.428320e-05	2	3.258640e-04	2.808630e-05	2	false
143           	smoothSolver	2.862580e-04	2.371500e-05	2	2.862170e-04	2.370630e-05	2	3.244560e-04	2.795650e-05	2	false
144           	smoothSolver	2.796940e-04	2.317240e-05	2	2.796650e-04	2.316480e-05	2	3.231170e-04	2.783010e-05	2	false
145           	smoothSolver	2.734860e-04	2.267250e-05	2	2.734450e-04	2.266440e-05	2	3.218140e-04	2.770690e-05	2	false
